date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:39	12117/12117	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202024%2012:28:39%20GMT	https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/slizepod.com/08960-Petronas_TowersBPAFFMYC11064/index4b65.html	(from )
20:28:40	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Oct%202024%2012:28:39%20GMT	https://slizepod.com/robots.txt		(from )
20:28:40	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e64044af8f24533f9320802deb0045cc%22	https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/images/favicon.ico	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/slizepod.com/08960-Petronas_TowersBPAFFMYC11064/images/favicon.ico	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
20:28:40	1981/1981	---MCZ	200	added ('OK')	text/css	etag:W/%2287159c30772f373c92109ae0dd97d726%22	https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/css/style.css	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/slizepod.com/08960-Petronas_TowersBPAFFMYC11064/css/style.css	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
20:28:40	194901/194901	---MCZ	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
20:28:41	319/319	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219f-5f5bdadc8ffb5-gzip%22	https://zenacentre.com/backbutton/bp9myc/rolfix.js	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/zenacentre.com/backbutton/bp9myc/rolfix.js	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
20:28:42	231/231	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2017%20Oct%202024%2012:28:42%20GMT	https://stransensilions.com/d/%20321d4f04-6ad3-4538-af9e-1dde44875a76.js	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/stransensilions.com/d/%20321d4f04-6ad3-4538-af9e-1dde44875a76.4.delayed	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
20:28:42	4297/4297	---M--	200	added ('OK')	application/javascript	date:Thu,%2017%20Oct%202024%2012:28:42%20GMT	https://stransensilions.com/d/%20321d4f04-6ad3-4538-af9e-1dde44875a76.js?noscript=true&lpurl=	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/stransensilions.com/d/%20321d4f04-6ad3-4538-af9e-1dde44875a76d349.js	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
20:28:43	645076/645076	---M--	200	added ('OK')	image/png	etag:%225d584f1f5efa93ed9a9e77cb6840377e%22	https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/images/bg.png	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/slizepod.com/08960-Petronas_TowersBPAFFMYC11064/images/bg.png	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
20:28:43	2874773/2874773	---M--	200	added ('OK')	audio/mpeg	etag:%22319de666647a48671db493e82ffe451a%22	https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/audio/audio_1.mp3	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/slizepod.com/08960-Petronas_TowersBPAFFMYC11064/audio/audio_1.mp3	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
20:28:44	237891/237891	---M--	200	added ('OK')	image/png	etag:%226dab098ed75c698ce4347302cd89f420%22	https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/images/zues.png	C:/Users/user/Desktop/KELVIN/JKC88/JKC88.CO/JKC88/slizepod.com/08960-Petronas_TowersBPAFFMYC11064/images/zues.png	(from https://slizepod.com/08960-Petronas_TowersBPAFFMYC11064/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=517602637807688&cpid=321d4f04-6ad3-4538-af9e-1dde44875a76&lpid=29b5419a-c498-4995-83e1-78b025431843)
